x,labelEn,labelBg
http://www.wikidata.org/entity/Q18883,Polkovnik Savovo,Полковник Савово
http://www.wikidata.org/entity/Q147916,Zarewa liwada,Царева Ливада
http://www.wikidata.org/entity/Q157218,Ohrid,Охрид
http://www.wikidata.org/entity/Q187381,Zelenika,Зеленика
http://www.wikidata.org/entity/Q285710,Gabar,Габър
http://www.wikidata.org/entity/Q374109,Tsvetkova Bara,Цветкова Бара
http://www.wikidata.org/entity/Q404756,Opaka,Опака
http://www.wikidata.org/entity/Q405887,Merichleri,Меричлери
http://www.wikidata.org/entity/Q449099,Lesovo,Лесово
http://www.wikidata.org/entity/Q509978,Vrabcha,Врабча
http://www.wikidata.org/entity/Q541193,Orizovo,Оризово
http://www.wikidata.org/entity/Q547362,Patreshko,Патрешко
http://www.wikidata.org/entity/Q550547,Aglen,Ъглен
http://www.wikidata.org/entity/Q565554,"Oreshak, Varna Province",Орешак
http://www.wikidata.org/entity/Q577936,Madara,Мадара
http://www.wikidata.org/entity/Q579139,Lomets,Ломец
http://www.wikidata.org/entity/Q597016,Shipochano,Шипочано
http://www.wikidata.org/entity/Q601941,Dalbok Dol,Дълбок Дол
http://www.wikidata.org/entity/Q606234,Beledie Han,Беледие хан
http://www.wikidata.org/entity/Q609113,Tsaratsovo,Царацово
http://www.wikidata.org/entity/Q631762,Lyalintsi,Лялинци
http://www.wikidata.org/entity/Q640541,Chavdartsi,Чавдарци
http://www.wikidata.org/entity/Q654836,Podkova,Подкова
http://www.wikidata.org/entity/Q666148,Agatovo,Агатово
http://www.wikidata.org/entity/Q683928,Dinevo,Динево
http://www.wikidata.org/entity/Q687298,"Muhovo, Bulgaria",Мухово
http://www.wikidata.org/entity/Q722987,Metlika,Метлика
http://www.wikidata.org/entity/Q751333,"Sredska, Kardzhali Province",Средска
http://www.wikidata.org/entity/Q751389,Klyuch,Ключ
http://www.wikidata.org/entity/Q767521,Trifonovo,Трифоново
http://www.wikidata.org/entity/Q770925,Sofronievo,Софрониево
http://www.wikidata.org/entity/Q775392,"Izvor, Burgas Province",Извор
http://www.wikidata.org/entity/Q785533,Voisil,Войсил
http://www.wikidata.org/entity/Q805067,"Balkantsi, Dobrich Province",Балканци
http://www.wikidata.org/entity/Q806422,Banevo,Банево
http://www.wikidata.org/entity/Q810473,Basarbovo,Басарбово
http://www.wikidata.org/entity/Q810897,Bachkovo,Бачково
http://www.wikidata.org/entity/Q816162,Belozem,Белозем
http://www.wikidata.org/entity/Q834541,Draganovo,Драганово
http://www.wikidata.org/entity/Q849674,Mugla,Мугла
http://www.wikidata.org/entity/Q892769,Bedzhene,Беджене
http://www.wikidata.org/entity/Q892802,Topola,Топола
http://www.wikidata.org/entity/Q898611,Branichevo,Браничево
http://www.wikidata.org/entity/Q899684,Bratya Daskalovi,Братя Даскалови
http://www.wikidata.org/entity/Q899709,Bratovo,Братово
http://www.wikidata.org/entity/Q909490,Plachi Dol,Плачидол
http://www.wikidata.org/entity/Q910106,Brezhani,Брежани
http://www.wikidata.org/entity/Q916214,"Bunovo, Sofia Province",Буново
http://www.wikidata.org/entity/Q921607,Bryastovets,Брястовец
http://www.wikidata.org/entity/Q935172,Glavinitsa,Главиница
http://www.wikidata.org/entity/Q935493,Ruen,Руен
http://www.wikidata.org/entity/Q935789,Ivanovo,Иваново
http://www.wikidata.org/entity/Q937301,Mirovyane,Мировяне
http://www.wikidata.org/entity/Q938341,Maritsa,Марица
http://www.wikidata.org/entity/Q941830,"Parvenets, Plovdiv Province",Първенец
http://www.wikidata.org/entity/Q946907,Ablanitsa,Абланица
http://www.wikidata.org/entity/Q947418,"Zornitsa, Burgas Province",Зорница
http://www.wikidata.org/entity/Q954834,Pismenovo,Писменово
http://www.wikidata.org/entity/Q958272,Bogdanitsa,Богданица
http://www.wikidata.org/entity/Q958670,Brestak,Брестак
http://www.wikidata.org/entity/Q961531,Ayrovo,Айрово
http://www.wikidata.org/entity/Q966128,Prisadets,Присадец
http://www.wikidata.org/entity/Q972602,Ravadinovo,Равадиново
http://www.wikidata.org/entity/Q980458,Kapitan Andreevo,Капитан Андреево
http://www.wikidata.org/entity/Q983903,"Rosenovo, Burgas Province",Росеново
http://www.wikidata.org/entity/Q984611,Terter,Тертер
http://www.wikidata.org/entity/Q985285,"Padina, Varna Province",Падина
http://www.wikidata.org/entity/Q985540,Filipovtsi,Филиповци
http://www.wikidata.org/entity/Q986381,Krivina,Кривина
http://www.wikidata.org/entity/Q988469,"Rosen, Burgas Province",Росен
http://www.wikidata.org/entity/Q988472,"Ravna Gora, Burgas Province",Равна Гора
http://www.wikidata.org/entity/Q988474,Kamenar,Каменар
http://www.wikidata.org/entity/Q988478,Prisad,Присад
http://www.wikidata.org/entity/Q990277,Tuhovishta,Туховища
http://www.wikidata.org/entity/Q990285,Kochan,Кочан
http://www.wikidata.org/entity/Q994086,Kamen Bryag,Камен Бряг
http://www.wikidata.org/entity/Q998071,Nikyup,Никюп
http://www.wikidata.org/entity/Q998083,"Novo Selo, Veliko Tarnovo",Ново Село
http://www.wikidata.org/entity/Q998094,Oresh,Ореш
http://www.wikidata.org/entity/Q998108,Spasovo,Спасово
http://www.wikidata.org/entity/Q998136,Karanovo,Караново
http://www.wikidata.org/entity/Q998148,Rupkite,Рупките
http://www.wikidata.org/entity/Q998159,Yovkovo,Йовково
http://www.wikidata.org/entity/Q998172,Paskalevo,Паскалево
http://www.wikidata.org/entity/Q998193,"Aleksandar Stamboliyski, Bulgaria",Александър Стамболийски
http://www.wikidata.org/entity/Q998205,"Karanovo, Burgas Province",Караново
http://www.wikidata.org/entity/Q1001483,Lesidren,Лесидрен
http://www.wikidata.org/entity/Q1003244,Malki Varshets,Малки Вършец
http://www.wikidata.org/entity/Q1003246,Mala Tsarkva,Мала Църква
http://www.wikidata.org/entity/Q1003252,Tvarditsa,Твърдица
http://www.wikidata.org/entity/Q1004046,Gorno Lukovo,Горно Луково
http://www.wikidata.org/entity/Q1006655,"Polyanovo, Haskovo Province",Поляново
http://www.wikidata.org/entity/Q1009437,Tuden,Туден
http://www.wikidata.org/entity/Q1009447,Golemo Malovo,Големо Малово
http://www.wikidata.org/entity/Q1009490,Malo Malovo,Мало Малово
http://www.wikidata.org/entity/Q1010059,"Ravnets, Burgas Province",Равнец
http://www.wikidata.org/entity/Q1010074,Draganovo,Драганово
http://www.wikidata.org/entity/Q1011732,Varshilo,Вършило
